Player_ID,Player_Name,Team,Power,Innovation,Acceleration
1001,Ruturaj Gaikwad,Chennai Super Kings,48,68,80
1002,MS Dhoni,Chennai Super Kings,46,95,80
1003,Dewald Brevis,Chennai Super Kings,68,59,41
1004,Ayush Mhatre,Chennai Super Kings,62,51,71
1005,Urvil Patel,Chennai Super Kings,95,66,79
1006,Anshul Kamboj,Chennai Super Kings,91,81,40
1007,Jamie Overton,Chennai Super Kings,70,77,43
1008,Ramakrishna Ghosh,Chennai Super Kings,58,71,71
1009,Shivam Dube,Chennai Super Kings,95,56,41
1010,Khaleel Ahmed,Chennai Super Kings,41,94,56
1011,Noor Ahmad,Chennai Super Kings,72,78,52
1012,Mukesh Choudhary,Chennai Super Kings,56,53,82
1013,Nathan Ellis,Chennai Super Kings,86,68,51
1014,Shreyas Gopal,Chennai Super Kings,68,64,56
1015,Gurjapneet Singh,Chennai Super Kings,81,65,43
1016,Sanju Samson,Chennai Super Kings,70,86,80
1017,Akeal Hosein,Chennai Super Kings,74,47,84
1018,Prashant Veer,Chennai Super Kings,82,85,76
1019,Kartik Sharma,Chennai Super Kings,77,75,69
1020,Matthew Short,Chennai Super Kings,51,95,66
1021,Aman Khan,Chennai Super Kings,53,84,77
1022,Sarfaraz Khan,Chennai Super Kings,44,58,49
1023,Rahul Chahar,Chennai Super Kings,53,65,41
1024,Matt Henry,Chennai Super Kings,55,92,63
1025,Zak Foulkes,Chennai Super Kings,51,78,57
1026,KL Rahul,Delhi Capitals,87,60,43
1027,Karun Nair,Delhi Capitals,69,63,77
1028,Abishek Porel,Delhi Capitals,59,65,82
1029,Tristan Stubbs,Delhi Capitals,62,55,63
1030,Axar Patel,Delhi Capitals,45,51,91
1031,Sameer Rizvi,Delhi Capitals,81,63,68
1032,Ashutosh Sharma,Delhi Capitals,61,41,77
1033,Vipraj Nigam,Delhi Capitals,43,72,84
1034,Ajay Mandal,Delhi Capitals,46,46,54
1035,Tripurana Vijay,Delhi Capitals,92,54,76
1036,Madhav Tiwari,Delhi Capitals,50,64,58
1037,Mitchell Starc,Delhi Capitals,70,52,77
1038,T Natarajan,Delhi Capitals,55,82,46
1039,Mukesh Kumar,Delhi Capitals,78,67,53
1040,Dushmantha Chameera,Delhi Capitals,42,46,83
1041,Kuldeep Yadav,Delhi Capitals,85,80,43
1042,Nitish Rana,Delhi Capitals,82,76,79
1043,Auqib Dar,Delhi Capitals,51,74,68
1044,Ben Duckett,Delhi Capitals,52,61,62
1045,David Miller,Delhi Capitals,59,52,59
1046,Pathum Nissanka,Delhi Capitals,46,44,89
1047,Lungi Ngidi,Delhi Capitals,53,60,49
1048,Sahil Parakh,Delhi Capitals,77,66,84
1049,Prithvi Shaw,Delhi Capitals,50,76,54
1050,Kyle Jamieson,Delhi Capitals,65,75,49
1051,Shubman Gill,Gujarat Titans,61,91,95
1052,Sai Sudharsan,Gujarat Titans,70,89,79
1053,Kumar Kushagra,Gujarat Titans,49,73,88
1054,Anuj Rawat,Gujarat Titans,81,69,85
1055,Jos Buttler,Gujarat Titans,54,49,76
1056,Nishant Sindhu,Gujarat Titans,43,50,90
1057,Glenn Phillips,Gujarat Titans,50,87,53
1058,Washington Sundar,Gujarat Titans,82,81,59
1059,Arshad Khan,Gujarat Titans,95,44,68
1060,Shahrukh Khan,Gujarat Titans,87,65,87
1061,Rahul Tewatia,Gujarat Titans,90,53,53
1062,Kagiso Rabada,Gujarat Titans,69,45,49
1063,Mohammed Siraj,Gujarat Titans,40,45,88
1064,Prasidh Krishna,Gujarat Titans,50,70,69
1065,Ishant Sharma,Gujarat Titans,71,74,62
1066,Gurnoor Singh Brar,Gujarat Titans,71,75,68
1067,Rashid Khan,Gujarat Titans,75,46,43
1068,Manav Suthar,Gujarat Titans,85,44,73
1069,Sai Kishore,Gujarat Titans,80,68,77
1070,Jayant Yadav,Gujarat Titans,69,83,54
1071,Ashok Sharma,Gujarat Titans,90,95,43
1072,Jason Holder,Gujarat Titans,84,40,67
1073,Tom Banton,Gujarat Titans,47,48,54
1074,Luke Wood,Gujarat Titans,65,68,69
1075,Prithviraj Yarra,Gujarat Titans,42,70,63
1076,Ajinkya Rahane,Kolkata Knight Riders,76,93,40
1077,Rinku Singh,Kolkata Knight Riders,52,68,95
1078,Angkrish Raghuvanshi,Kolkata Knight Riders,42,91,44
1079,Manish Pandey,Kolkata Knight Riders,64,93,49
1080,Rovman Powell,Kolkata Knight Riders,92,92,90
1081,Anukul Roy,Kolkata Knight Riders,62,61,62
1082,Ramandeep Singh,Kolkata Knight Riders,75,52,85
1083,Vaibhav Arora,Kolkata Knight Riders,44,87,69
1084,Sunil Narine,Kolkata Knight Riders,59,85,51
1085,Varun Chakaravarthy,Kolkata Knight Riders,79,66,56
1086,Harshit Rana,Kolkata Knight Riders,81,84,74
1087,Umran Malik,Kolkata Knight Riders,92,92,84
1088,Cameron Green,Kolkata Knight Riders,65,79,83
1089,Matheesha Pathirana,Kolkata Knight Riders,79,49,74
1090,Finn Allen,Kolkata Knight Riders,59,66,86
1091,Tejasvi Singh,Kolkata Knight Riders,42,63,73
1092,Prashant Solanki,Kolkata Knight Riders,55,77,43
1093,Kartik Tyagi,Kolkata Knight Riders,51,60,63
1094,Rahul Tripathi,Kolkata Knight Riders,64,45,85
1095,Tim Seifert,Kolkata Knight Riders,54,76,75
1096,Sarthak Ranjan,Kolkata Knight Riders,52,41,50
1097,Daksh Kamra,Kolkata Knight Riders,95,63,76
1098,Akash Deep,Kolkata Knight Riders,42,79,45
1099,Rachin Ravindra,Kolkata Knight Riders,72,85,83
1100,Blessing Muzarabani,Kolkata Knight Riders,73,52,72
1101,Rishabh Pant,Lucknow Super Giants,72,45,47
1102,Ayush Badoni,Lucknow Super Giants,47,46,77
1103,Abdul Samad,Lucknow Super Giants,43,50,64
1104,Aiden Markram,Lucknow Super Giants,53,75,53
1105,Himmat Singh,Lucknow Super Giants,72,56,48
1106,Matthew Breetzke,Lucknow Super Giants,44,67,50
1107,Nicholas Pooran,Lucknow Super Giants,67,92,49
1108,Mitchell Marsh,Lucknow Super Giants,58,93,50
1109,Shahbaz Ahmed,Lucknow Super Giants,88,74,89
1110,Arshin Kulkarni,Lucknow Super Giants,82,93,58
1111,Mayank Yadav,Lucknow Super Giants,54,79,84
1112,Avesh Khan,Lucknow Super Giants,40,64,56
1113,Mohsin Khan,Lucknow Super Giants,62,83,49
1114,M Siddharth,Lucknow Super Giants,50,74,89
1115,Digvesh Rathi,Lucknow Super Giants,78,63,41
1116,Prince Yadav,Lucknow Super Giants,56,73,95
1117,Akash Singh,Lucknow Super Giants,62,53,83
1118,Arjun Tendulkar,Lucknow Super Giants,60,88,95
1119,Mohammed Shami,Lucknow Super Giants,50,74,86
1120,Anrich Nortje,Lucknow Super Giants,43,69,64
1121,Wanindu Hasaranga,Lucknow Super Giants,83,94,50
1122,Mukul Choudhary,Lucknow Super Giants,41,66,89
1123,Naman Tiwari,Lucknow Super Giants,59,95,52
1124,Akshat Raghuwanshi,Lucknow Super Giants,83,51,59
1125,Josh Inglis,Lucknow Super Giants,85,60,47
1126,Rohit Sharma,Mumbai Indians,75,71,59
1127,Suryakumar Yadav,Mumbai Indians,75,62,89
1128,Robin Minz,Mumbai Indians,93,84,89
1129,Ryan Rickelton,Mumbai Indians,49,53,44
1130,Tilak Varma,Mumbai Indians,45,88,43
1131,Hardik Pandya,Mumbai Indians,59,82,94
1132,Naman Dhir,Mumbai Indians,80,50,90
1133,Mitchell Santner,Mumbai Indians,54,52,88
1134,Will Jacks,Mumbai Indians,88,83,58
1135,Corbin Bosch,Mumbai Indians,93,66,61
1136,Raj Bawa,Mumbai Indians,79,92,73
1137,Trent Boult,Mumbai Indians,41,85,77
1138,Jasprit Bumrah,Mumbai Indians,48,87,57
1139,Deepak Chahar,Mumbai Indians,58,76,56
1140,Ashwani Kumar,Mumbai Indians,44,78,44
1141,Raghu Sharma,Mumbai Indians,54,70,70
1142,Allah Ghazanfar,Mumbai Indians,48,83,60
1143,Mayank Markande,Mumbai Indians,79,60,65
1144,Shardul Thakur,Mumbai Indians,64,67,43
1145,Sherfane Rutherford,Mumbai Indians,91,63,44
1146,Quinton De Kock,Mumbai Indians,58,65,73
1147,Atharva Ankolekar,Mumbai Indians,68,48,78
1148,Mohammad Izhar,Mumbai Indians,74,83,70
1149,Danish Malewar,Mumbai Indians,70,79,63
1150,Mayank Rawat,Mumbai Indians,72,60,52
1151,Shreyas Iyer,Punjab Kings,91,42,92
1152,Nehal Wadhera,Punjab Kings,66,42,88
1153,Vishnu Vinod,Punjab Kings,56,51,84
1154,Harnoor Pannu,Punjab Kings,70,51,67
1155,Pyla Avinash,Punjab Kings,45,95,90
1156,Prabhsimran Singh,Punjab Kings,63,66,71
1157,Shashank Singh,Punjab Kings,91,66,52
1158,Marcus Stoinis,Punjab Kings,56,67,59
1159,Harpreet Brar,Punjab Kings,75,49,57
1160,Marco Jansen,Punjab Kings,51,44,69
1161,Azmatullah Omarzai,Punjab Kings,74,48,86
1162,Priyansh Arya,Punjab Kings,95,61,44
1163,Musheer Khan,Punjab Kings,92,69,62
1164,Suryansh Shedge,Punjab Kings,46,46,82
1165,Mitch Owen,Punjab Kings,85,66,58
1166,Arshdeep Singh,Punjab Kings,66,69,95
1167,Yuzvendra Chahal,Punjab Kings,44,58,82
1168,Vyshak Vijaykumar,Punjab Kings,56,63,92
