Team,Player
Chennai Super Kings,Ruturaj Gaikwad
Chennai Super Kings,Sanju Samson
Chennai Super Kings,Shivam Dube
Chennai Super Kings,MS Dhoni
Chennai Super Kings,Noor Ahmad
Chennai Super Kings,Urvil Patel
Chennai Super Kings,Prashant Veer
Chennai Super Kings,Anshul Kamboj
Chennai Super Kings,Kartik Sharma
Chennai Super Kings,Nathan Ellis
Chennai Super Kings,Aman Khan
Delhi Capitals,KL Rahul
Delhi Capitals,Tristan Stubbs
Delhi Capitals,Axar Patel
Delhi Capitals,Kuldeep Yadav
Delhi Capitals,Mitchell Starc
Delhi Capitals,Nitish Rana
Delhi Capitals,Tripurana Vijay
Delhi Capitals,Sahil Parakh
Delhi Capitals,Sameer Rizvi
Delhi Capitals,Karun Nair
Delhi Capitals,Mukesh Kumar
Gujarat Titans,Shubman Gill
Gujarat Titans,Sai Sudharsan
Gujarat Titans,Jos Buttler
Gujarat Titans,Rashid Khan
Gujarat Titans,Mohammed Siraj
Gujarat Titans,Shahrukh Khan
Gujarat Titans,Ashok Sharma
Gujarat Titans,Anuj Rawat
Gujarat Titans,Washington Sundar
Gujarat Titans,Sai Kishore
Gujarat Titans,Arshad Khan
Kolkata Knight Riders,Rinku Singh
Kolkata Knight Riders,Cameron Green
Kolkata Knight Riders,Sunil Narine
Kolkata Knight Riders,Varun Chakaravarthy
Kolkata Knight Riders,Matheesha Pathirana
Kolkata Knight Riders,Rovman Powell
Kolkata Knight Riders,Umran Malik
Kolkata Knight Riders,Daksh Kamra
Kolkata Knight Riders,Harshit Rana
Kolkata Knight Riders,Rachin Ravindra
Kolkata Knight Riders,Ajinkya Rahane
Lucknow Super Giants,Rishabh Pant
Lucknow Super Giants,Nicholas Pooran
Lucknow Super Giants,Mitchell Marsh
Lucknow Super Giants,Mohammed Shami
Lucknow Super Giants,Mayank Yadav
Lucknow Super Giants,Shahbaz Ahmed
Lucknow Super Giants,Arshin Kulkarni
Lucknow Super Giants,Wanindu Hasaranga
Lucknow Super Giants,Arjun Tendulkar
Lucknow Super Giants,Prince Yadav
Lucknow Super Giants,Naman Tiwari
Mumbai Indians,Rohit Sharma
Mumbai Indians,Suryakumar Yadav
Mumbai Indians,Hardik Pandya
Mumbai Indians,Jasprit Bumrah
Mumbai Indians,Trent Boult
Mumbai Indians,Robin Minz
Mumbai Indians,Raj Bawa
Mumbai Indians,Will Jacks
Mumbai Indians,Corbin Bosch
Mumbai Indians,Mohammad Izhar
Mumbai Indians,Naman Dhir
Punjab Kings,Shreyas Iyer
Punjab Kings,Marcus Stoinis
Punjab Kings,Marco Jansen
Punjab Kings,Arshdeep Singh
Punjab Kings,Yuzvendra Chahal
Punjab Kings,Musheer Khan
Punjab Kings,Vishal Nishad
Punjab Kings,Shashank Singh
Punjab Kings,Xavier Bartlett
Punjab Kings,Mitch Owen
Punjab Kings,Pyla Avinash
Rajasthan Royals,Yashasvi Jaiswal
Rajasthan Royals,Riyan Parag
Rajasthan Royals,Dhruv Jurel
Rajasthan Royals,Ravindra Jadeja
Rajasthan Royals,Jofra Archer
Rajasthan Royals,Lhuan-dre Pretorius
Rajasthan Royals,Vaibhav Suryavanshi
Rajasthan Royals,Kuldeep Sen
Rajasthan Royals,Tushar Deshpande
Rajasthan Royals,Nandre Burger
Rajasthan Royals,Donovan Ferreira
Royal Challengers Bengaluru,Virat Kohli
Royal Challengers Bengaluru,Rajat Patidar
Royal Challengers Bengaluru,Phil Salt
Royal Challengers Bengaluru,Josh Hazlewood
Royal Challengers Bengaluru,Bhuvneshwar Kumar
Royal Challengers Bengaluru,Vicky Ostwal
Royal Challengers Bengaluru,Yash Dayal
Royal Challengers Bengaluru,Abhinandan Singh
Royal Challengers Bengaluru,Satvik Deswal
Royal Challengers Bengaluru,Devdutt Padikkal
Royal Challengers Bengaluru,Tim David
Sunrisers Hyderabad,Travis Head
Sunrisers Hyderabad,Abhishek Sharma
Sunrisers Hyderabad,Ishan Kishan
Sunrisers Hyderabad,Heinrich Klaasen
Sunrisers Hyderabad,Pat Cummins
Sunrisers Hyderabad,Jaydev Unadkat
Sunrisers Hyderabad,Harsh Dubey
Sunrisers Hyderabad,Praful Hinge
Sunrisers Hyderabad,Aniket Verma
Sunrisers Hyderabad,Nitish Kumar Reddy
Sunrisers Hyderabad,Sakib Hussain
